,station,latitude,longitude,numDocks,timestamp,year,month,day,hour,weekday,weekhour,isHoliday,windMaxSpeed.m.s,windMeanSpeed.m.s,windDirection.grades,temperature.C,relHumidity.HR,airPressure.mb,precipitation.l.m2,bikes_3h_ago,full_profile_3h_diff_bikes,full_profile_bikes,short_profile_3h_diff_bikes,short_profile_bikes,bikes
0,254,39.4892551533,-0.3931811601,24,1412114400.0,2014,10,1,0,Wednesday,49,0,11.3,3.2,67.5,21.3,85.0,855.3,0.0,,,,,,12.0
1,254,39.4892551533,-0.3931811601,24,1412118000.0,2014,10,1,1,Wednesday,50,0,1.6,0.0,157.5,21.1,86.0,1000.6,0.0,,,,,,12.0
2,254,39.4892551533,-0.3931811601,24,1412121600.0,2014,10,1,2,Wednesday,51,0,1.6,0.0,112.5,20.9,86.0,880.6,0.0,,,,,,13.0
3,254,39.4892551533,-0.3931811601,24,1412125200.0,2014,10,1,3,Wednesday,52,0,0.0,0.0,146.3,20.4,88.0,859.8,0.0,12.0,,,,,14.0
4,254,39.4892551533,-0.3931811601,24,1412128800.0,2014,10,1,4,Wednesday,53,0,6.4,3.2,157.5,20.3,87.0,898.1,0.0,12.0,,,,,14.0
5,254,39.4892551533,-0.3931811601,24,1412132400.0,2014,10,1,5,Wednesday,54,0,6.4,1.6,135.0,20.1,88.0,910.6,0.0,13.0,,,,,13.0
6,254,39.4892551533,-0.3931811601,24,1412136000.0,2014,10,1,6,Wednesday,55,0,4.8,1.6,157.5,19.6,89.0,908.1,0.0,14.0,,,,,13.0
7,254,39.4892551533,-0.3931811601,24,1412139600.0,2014,10,1,7,Wednesday,56,0,0.0,0.0,146.3,19.7,89.0,987.8,0.0,14.0,,,,,11.0
8,254,39.4892551533,-0.3931811601,24,1412143200.0,2014,10,1,8,Wednesday,57,0,3.2,0.0,135.0,19.8,88.0,971.3,0.0,13.0,,,,,1.0
9,254,39.4892551533,-0.3931811601,24,1412146800.0,2014,10,1,9,Wednesday,58,0,4.8,1.6,135.0,20.1,87.0,983.1,0.0,13.0,,,,,1.0
10,254,39.4892551533,-0.3931811601,24,1412150400.0,2014,10,1,10,Wednesday,59,0,6.4,3.2,67.5,21.1,84.0,983.1,0.0,11.0,,,,,1.0
11,254,39.4892551533,-0.3931811601,24,1412154000.0,2014,10,1,11,Wednesday,60,0,20.9,9.7,67.5,22.2,82.0,884.0,0.0,1.0,,,,,0.0
12,254,39.4892551533,-0.3931811601,24,1412157600.0,2014,10,1,12,Wednesday,61,0,20.9,12.9,67.5,22.8,80.0,850.0,0.0,1.0,,,,,1.0
13,254,39.4892551533,-0.3931811601,24,1412161200.0,2014,10,1,13,Wednesday,62,0,20.9,11.3,67.5,23.1,78.0,819.7,0.0,1.0,,,,,2.0
14,254,39.4892551533,-0.3931811601,24,1412164800.0,2014,10,1,14,Wednesday,63,0,22.5,12.9,67.5,23.2,78.0,811.9,0.0,0.0,,,,,5.0
15,254,39.4892551533,-0.3931811601,24,1412168400.0,2014,10,1,15,Wednesday,64,0,22.5,12.9,67.5,23.3,76.0,997.4,0.0,1.0,,,,,8.0
