"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
257,39.4614520571,-0.4004871671,15,1412114400,2014,10,1,0,"Wednesday",49,0,11.3,3.2,67.5,21.3,85,855.3,0,NA,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412118000,2014,10,1,1,"Wednesday",50,0,1.6,0,157.5,21.1,86,1000.6,0,NA,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412121600,2014,10,1,2,"Wednesday",51,0,1.6,0,112.5,20.9,86,880.6,0,NA,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412125200,2014,10,1,3,"Wednesday",52,0,0,0,146.3,20.4,88,859.8,0,4,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412128800,2014,10,1,4,"Wednesday",53,0,6.4,3.2,157.5,20.3,87,898.1,0,3,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412132400,2014,10,1,5,"Wednesday",54,0,6.4,1.6,135,20.1,88,910.6,0,3,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412136000,2014,10,1,6,"Wednesday",55,0,4.8,1.6,157.5,19.6,89,908.1,0,4,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412139600,2014,10,1,7,"Wednesday",56,0,0,0,146.3,19.7,89,987.8,0,4,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412143200,2014,10,1,8,"Wednesday",57,0,3.2,0,135,19.8,88,971.3,0,4,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412146800,2014,10,1,9,"Wednesday",58,0,4.8,1.6,135,20.1,87,983.1,0,4,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412150400,2014,10,1,10,"Wednesday",59,0,6.4,3.2,67.5,21.1,84,983.1,0,3,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412154000,2014,10,1,11,"Wednesday",60,0,20.9,9.7,67.5,22.2,82,884,0,0,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412157600,2014,10,1,12,"Wednesday",61,0,20.9,12.9,67.5,22.8,80,850,0,0,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412161200,2014,10,1,13,"Wednesday",62,0,20.9,11.3,67.5,23.1,78,819.7,0,0,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412164800,2014,10,1,14,"Wednesday",63,0,22.5,12.9,67.5,23.2,78,811.9,0,1,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412168400,2014,10,1,15,"Wednesday",64,0,22.5,12.9,67.5,23.3,76,997.4,0,1,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412172000,2014,10,1,16,"Wednesday",65,0,19.3,8,67.5,23.3,77,1084.9,0,2,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412175600,2014,10,1,17,"Wednesday",66,0,16.1,6.4,22.5,23.2,79,996.9,0,4,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412179200,2014,10,1,18,"Wednesday",67,0,16.1,6.4,22.5,23.1,81,1072.1,0,2,NA,NA,NA,NA,7
